day,name,address,city,codes,map,
"Monday, 	12:00 PM",JUST FOR TODAY,New Life Community Church  1430 Palm Drive -- enter on El Camino Real,Burlingame,"H,Wh",http://goo.gl/maps/POKC9,
"Friday, 	12:00 PM",RAP GROUP,New Life Community Church  1430 Palm Drive -- enter on El Camino Real,Burlingame,"D,H,SP",http://goo.gl/maps/POKC9,
"Sunday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,http://goo.gl/maps/bnSxs,
"Monday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,http://goo.gl/maps/bnSxs,
"Tuesday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,http://goo.gl/maps/bnSxs,
"Wednesday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,http://goo.gl/maps/bnSxs,
"Friday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,http://goo.gl/maps/bnSxs,
"Saturday, 	8:00 PM",Vivendo en Sobriedad,Oscar's Casa	721 N. Amphlett- 271-1403,San Mateo,E,http://goo.gl/maps/bnSxs,
"Thursday, 	8:00 PM",Vivendo en Sobriedad,"Oscar's Casa	721 N. Amphlett, 271-1403",San Mateo,E,http://goo.gl/maps/bnSxs,
"Friday, 	8:00 PM",FRIDAY NIGHT GROUP,Our Lady of Pillar Church  540 Kelly (Church St),Half Moon Bay ,,http://goo.gl/maps/OYejs,
"Thursday, 	4:15 PM",OYSTER POINT DISCUSSION,Oyster Point Yacht Club   Marina,South SF,"D,H",http://goo.gl/maps/YvfWm,
"Friday, 	6:00 PM",GOLDEN GATE SOUTH GROUP,Pacifica Comm. Center	  540 Crespi Dr.,Pacifica,"H,Wh",http://goo.gl/maps/DqteW,
"Monday, 	7:00 PM",SHARING CHOICES,Peninsula Medical Center	1501 Trousdale Conference Room H,Burlingame,"W,H",http://goo.gl/maps/MQP4I,
"Monday, 	7:00 PM",PESCADERO GROUP,Pescadero Comm. Church	363 Stage Road,Pescadero,H,http://goo.gl/maps/Tbkbe,
"Thursday, 	12:00 PM",MENLO PARK MEN'S GRP.,"Presby. Church	1111 University Drive, Room D",Menlo Park,"C,H",http://goo.gl/maps/01aW6,
"Wednesday, 	12:00 PM",ATHERTON GROUP,Menlo Park Presbyterian Church 950 University Drive / Building D / Room 11,Menlo Park,"C,",http://goo.gl/maps/01aW6,Last Wednesday of each month is an Open Meeting
"Tuesday, 	12:00 PM",BOOK WORM GROUP,Menlo Park Presbyterian Church 950 University Drive / Building D / Room 10,Menlo Park,"H,L,Wh",http://goo.gl/maps/01aW6,
"Friday, 	6:00 PM",COTTONMOUTH MEETING,Menlo Park Presbyterian Church 950 University Drive / Building D / Room 11,Menlo Park,"SP,",http://goo.gl/maps/01aW6,
"Friday, 	8:00 PM",MENLO PARK FRIDAY NIGHT,Menlo Park Presbyterian Church 950 University Drive / Building D / Room 10,Menlo Park,,http://goo.gl/maps/01aW6,
"Friday, 	7:30 PM",DON’T DRINK & GO TO MEETINGS,Redeemer Lutheran Church  468 Grand,Redwood City,,http://goo.gl/maps/ft5wh,
"Monday, 	7:30 PM",MON NIGHT FIRESIDE CHAT GROUP,Redeemer Lutheran Church  468 Grand,Redwood City,"H,Wh",http://goo.gl/maps/ft5wh,
"Thursday, RS	12:00 PM",BROKEN ELEVATOR,"Redwood Shores Library  399 Marine Pkwy, Rm. A",Redwood City,"D,H,Wh",http://goo.gl/maps/hoUZz,
"Sunday, 	2:00 PM",SUNSHINE GROUP-Big Book Study,"San Mateo County General Hospital – 39th & Edison – 2nd floor, Edu Conf Room",San Mateo,"L,Wh",http://goo.gl/maps/ugYuU,
"Saturday, 	10:00 AM",EYE OPENER,San Mateo County General Hospital – 39th & Edison – 2nd floor,San Mateo,Wh,http://goo.gl/maps/ugYuU,
"Sunday, 	11:00 AM",11th Step,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Saturday, 	10:00 PM",11th Step Tropical Meditation,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Monday, 	7:30 PM",12 Step Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Tuesday, 	12:00 PM",As Bill Sees It,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Friday, 	Midnight ",Awake and Serene,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Wednesday, 	7:30 PM",Beginners ,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"H,B,",http://goo.gl/maps/PT4Cs,
"Sunday, 	4:30 PM",Big Book Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Wednesday, 	9:00 PM",Big Book Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"H,L",http://goo.gl/maps/PT4Cs,
"Friday, 	12:00 PM",Big Book Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Saturday, 	7:30 PM",Big Book Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Sunday, 	7:00 AM",Crack of Dawn,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Tuesday, 	7:00 AM",Crack of Dawn,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Monday, 	7:00 AM",Crack of Dawn ,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Wednesday, 	7:00 AM",Daily Reflection Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"D,H,L",http://goo.gl/maps/PT4Cs,
"Friday, 	7:00 AM",Daily Reflection Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"D,H,L",http://goo.gl/maps/PT4Cs,
"Tuesday, 	4:30 PM",Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Wednesday, 	12:00 PM",Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Thursday, 	4:30 PM",Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Saturday, 	12:00 PM",Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Saturday, 	4:30 PM",Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Monday, 	12:00 PM",DISCUSSION.,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Friday, 	6:00 PM",Fabulous Fridays,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Sunday, 	5:45 –7:15",FOURTH STEP WORKSHOP,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Wednesday, 	4:30 PM",Grapevine,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Tuesday, 	7:30 PM",Living Sober,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Sunday, 	9:00 AM",MEDITATION,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Sunday, 	2:00 PM",Meditation/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Monday, 	6:00 PM",Men's Topic Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"D,H,M",http://goo.gl/maps/PT4Cs,
"Friday, 	10:00 PM",Nite Owl,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Saturday, 	Midnight ",SATURDAY NITE LIVE,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,,http://goo.gl/maps/PT4Cs,
"Friday, 	7:30 PM",Speaker Meeting,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Monday, 	9:00 PM",Speaker/ Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"D,H,SP,",http://goo.gl/maps/PT4Cs,
"Monday, 	4:30 PM",Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Thursday, 	7:30 PM",Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"D,H,SP,",http://goo.gl/maps/PT4Cs,
"Saturday, 	7:00 AM",Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Saturday, 	6:00 PM",Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Sunday, 	7:30 PM",Speaker/Discussion.,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Thursday, 	12:00 PM",Step Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"W,H",http://goo.gl/maps/PT4Cs,
"Thursday, 	7:00 AM",Steps / Traditions,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Friday, 	4:30 PM",Tradition Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,http://goo.gl/maps/PT4Cs,
"Tuesday, 	6:00 PM",Women's Big Book Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"H,L",http://goo.gl/maps/PT4Cs,
"Wednesday, 	10:30 PM",Women's Daily Reflections,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"D,H,W",http://goo.gl/maps/PT4Cs,
"Thursday, 	6:00 PM",Women's Speaker/Discussion,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,"W,H",http://goo.gl/maps/PT4Cs,
"Sunday, 	8:00 PM",SUN NIGHT SHARING GROUP,Sequoia Hospital - R Floor Conference Room   Whipple & The Alameda,Redwood City,Wh,http://goo.gl/maps/qs8fE,
"Tuesday, 	8:00 PM",FREEDOM GROUP,Sequoia Hospital - R Floor Conference Room Dr’s Conf. Rm. Whipple & The Alameda,Redwood City,"H,SP,Wh",http://goo.gl/maps/qs8fE,
"Saturday, 	7:30 PM",WOODSIDE GROUP,Sequoia Hospital - R Floor Conference Room Whipple & The Alameda,Redwood City,Wh,http://goo.gl/maps/qs8fE,
"Friday, 	8:00 PM",PHOENIX GROUP,"Sequoia Hospital, R Floor Conference Room  Whipple & The Alameda",Redwood City,"H,SP,Wh",http://goo.gl/maps/qs8fE,
"Tuesday, 	7:00 PM",Men's 'Language of the Heart' study,Seton Coastside Hosp.	600 Marine Blvd.,Moss Beach,"L,M",http://goo.gl/maps/cLFFn,
"Friday, 	7:30 PM",HELPING HAND GROUP,"Seton Med. Ctr	""1900 Sullivan-Dr. Conf. Rm., 2nd floor""",Daly City,"D,L,Wh",http://goo.gl/maps/001qh,
"Friday, 	12:00 PM",BACK TO BASICS,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"D,Wh",http://goo.gl/maps/2d783,
"Tuesday, 	12:00 PM",Big Book Study,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"L,Wh",http://goo.gl/maps/2d783,
"Wednesday, 	12:00 PM",Daily Reflections,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"D,Wh",http://goo.gl/maps/2d783,
"Monday, 	12:00 PM",DISCUSSION,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"D,Wh",http://goo.gl/maps/2d783,
"Thursday, 	6:00 PM",HMB HAPPY HOUR,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,H,http://goo.gl/maps/2d783,
"Thursday, 	7:30 PM",HMB THURS NITE WOMEN'S MTG,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"C,W,",http://goo.gl/maps/2d783,
"Saturday, 	5:00 PM",SAT NIGHT SPEAKER/DISCUSSION,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"D,H,L,Wh",http://goo.gl/maps/2d783,
"Thursday, 	12:00 PM",STEP STUDY,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"L,Wh",http://goo.gl/maps/2d783,
"Tuesday, 	7:00 PM",THE NEW TUESDAY NITE BEGINNERS (75 Min.),"San Mateo County General Hospital – 222 W. 39th Ave, 2nd Floor, Rm. 1",San Mateo,"B,SP,Wh",http://goo.gl/maps/CkWNM,
"Sunday, 	7:30 PM",OPEN DOOR GROUP,St . Pius Church  1100 Woodside Rd. Rm 4,Redwood City,Wh,http://goo.gl/maps/MkNf7,
"Wednesday, 	8:00 PM",NEWCOMERS Q&A,"St . Pius Church  1100 Woodside Rd, Rm 4",Redwood City,"C,D,Wh",http://goo.gl/maps/MkNf7,
"Thursday, 	6:30 PM",A VISION FOR YOU,"St . Pius Church  1100 Woodside Rd, Rm 4  ",Redwood City,L,http://goo.gl/maps/MkNf7,
"Wednesday, 	7:30 PM",A FRESH START,St. Ambrose Church	Beachpark & Edgewater,Foster City,"H,YP,",http://goo.gl/maps/Jntaz,
"Monday, 	7:30 PM",STUDY THE TEXT GROUP,St. Ambrose Church	Beachpark & Edgewater,Foster City,"D,H,SP,L",http://goo.gl/maps/Jntaz,
"Sunday, 	9:30 AM",HAM & EGGERS,St. Andrew's Church  1600 Santa Lucia – Lower Social Rm,San Bruno ,"H,Wh",http://goo.gl/maps/YyqUx,
"Sunday, 	7:30 PM",BEGINNER'S MTG,St. Andrew's Church  15th Ave. & El Camino,San Mateo,"H,B,",http://goo.gl/maps/FvbmL,
"Sunday, 	6:00 PM",SUN SUNDOWNERS,St. Andrew's Church  15th Ave. & El Camino,San Mateo,,http://goo.gl/maps/FvbmL,
"Sunday, 	7:00 PM",SIMPLY SPEAKING,St. Andrew's Church  1600 Santa Lucia,San Bruno ,"D,H",http://goo.gl/maps/YyqUx,
"Wednesday, 	7:30 PM",EARLY ENDERS,St. Andrew's Church  1600 Santa Lucia – Lower Social Rm,San Bruno ,"H,Wh",http://goo.gl/maps/YyqUx,
"Thursday, 	7:30 PM",MILLBRAE GROUP,St. Andrew's Church  1600 Santa Lucia – Lower Social Rm,San Bruno ,"H,Wh",http://goo.gl/maps/YyqUx,
"Saturday, 	9:00 AM",SATURDAY MORNING SANDHILL,St. Bede’s Church 2650 Sandhill Road,Menlo Park,"H,Wh",http://goo.gl/maps/ws7mc,
"Thursday, 	12:00 PM",WOMENS STEP STUDY GROUP,St. Bede’s Church 2650 Sandhill Road,Menlo Park,"C,W,H,L",http://goo.gl/maps/ws7mc,
"Friday, 	12:00 PM",JUST DON'T DRINK,St. Elizabeth's  280 Country Club Dr.,South SF,"D,H,Wh",http://goo.gl/maps/kOblX,
"Monday, 	7:30 PM",KEEP IT SIMPLE GROUP,St. Elizabeth's  280 Country Club Dr.,South SF,"H,SP",http://goo.gl/maps/kOblX,
"Wednesday, 	7:30 PM",PATHFINDERS GROUP,St. Elizabeth's  280 Country Club Dr.,South SF,"H,SP,Wh",http://goo.gl/maps/kOblX,
"Monday, 	12:00 PM",SOUTH CITY WOMEN'S DISCUSSION,St. Elizabeth's  280 Country Club Dr.,South SF,"W,D,H,Wh",http://goo.gl/maps/kOblX,
"Thursday, 	6:30 PM",WATCH YOUR STEP,St. Elizabeth's  280 Country Club Dr.,South SF,L,http://goo.gl/maps/kOblX,
"Tuesday, 	6:45 PM",TOOLS OF RECOVERY,St. John's Church	Sylvan & Mastick,San Bruno ,H,http://goo.gl/maps/cHyjx,
"Sunday, 	7:00 PM",SAN BRUNO GROUP,St. John’s Church Hall	Sylvan & Mastick,San Bruno ,Wh,http://goo.gl/maps/cHyjx,
"Tuesday, 	4:30 PM",STEPPING THRU THE BIG BOOK,St. Paul's Library 415 El Camino Real ,Burlingame,"H,L",http://goo.gl/maps/w4SAB,
"Saturday, 	8:00 PM",SATURDAY NIGHT DISCUSSION,St. Paul’s Church  405 El Camino Real,Burlingame,"D,H,SP",http://goo.gl/maps/w4SAB,
"Friday, 	8:00 PM",SERENITY GROUP,St. Paul’s Church  405 El Camino Real,Burlingame,"D,H",http://goo.gl/maps/w4SAB,
"Thursday, 	8:00 PM",BURLINGAME MEN’S GROUP,St. Paul’s Church  415 El Camino Real ,Burlingame,"C,D",http://goo.gl/maps/w4SAB,
"Saturday, 	7:30 PM",AS BILL SEES IT,St. Peters Church	700 Oddstad – at Linda Mar,Pacifica,"C,L",http://goo.gl/maps/shBvB,
"Saturday, 	10:30 AM",COMPLETE ABANDON GROUP,St . Pius Church  1100 Woodside Rd. Rm 4,Redwood City,H,http://goo.gl/maps/MkNf7,
"Saturday, 	10:00 AM",COME AS YOU ARE-Big Book Disc,St. Roberts 349 Oak Ave at Dababneh (Mahoney Rm. behind Convent),San Bruno ,,http://goo.gl/maps/4rLpr,
"Wednesday, 	7:00 PM",SERENITY BY THE SEA,Ted Adcock Comm. Center	535 Kelly Avenue,Half Moon Bay ,,http://goo.gl/maps/SFhXI,
"Tuesday, 	7:30 PM",Big Book Study,Terra Nova Church Ctr.	1125 Terra Nova,Pacifica,"C,L",http://goo.gl/maps/gdaEr,
"Wednesday, 	7:30 PM",PACIFICA WOMEN'S MEETING,Terra Nova Church Ctr.	1125 Terra Nova,Pacifica,"C,W,",http://goo.gl/maps/gdaEr,
"Sunday, 	7:30 PM",SERENITY IN PACIFICA,Terra Nova Church Ctr.	1125 Terra Nova,Pacifica,"D,H,Wh",http://goo.gl/maps/gdaEr,
"Sunday, 	7:30 PM",THE INDESCRIBABLY WONDERFUL MTG.,Trinity Baptist Church  39 E. 39th Avenue (enter on 38th),San Mateo,"H,SP,",http://goo.gl/maps/YVOM1,
"Saturday, 	7:30 PM",GROWING STRONGER,Trinity Presbyterian Church	1106 Alameda de las Pulgas,San Carlos,"D,H,SP,",http://goo.gl/maps/BrSSJ,
"Friday, 	7:00 PM",FOUNDATION STONE GROUP,Unitarian Universalist Church	2124 Brewster,Redwood City,"D,H,SP,Wh",http://goo.gl/maps/gvXYc,
"Wednesday, 	8:00 PM",STEP STUDY GROUP,Unitarian Universalist Church	2124 Brewster,Redwood City,"H,L,Wh",http://goo.gl/maps/gvXYc,
"Tuesday, 	12:00 PM",12 STEP STUDY,United Methodist Church 450 Chadbourne Rm 101,Millbrae,"H,L",http://goo.gl/maps/xeSpv,
"Friday, 	7:00 PM",FRIDAY NIGHT RAP GROUP,United Methodist Church 450 Chadbourne Rm 101,Millbrae,D,http://goo.gl/maps/xeSpv,
"Tuesday, 	7:00 PM",BACK TO BASICS,VA Hospital  795 Willow Rd. Bldg. 347,Menlo Park,,http://goo.gl/maps/hd5DI,
"Tuesday, 	7:00 AM",PORTOLA VALLEY 11TH STEP,"Valley Presbyterian Church	945 Portola Road, in Bride's Room",Portola Valley ,H,http://goo.gl/maps/Vpl1Z,
"Thursday, RS	7:00 AM",PORTOLA VALLEY 11TH STEP,"Valley Presbyterian Church	945 Portola Road, in Bride's Room",Portola Valley ,H,http://goo.gl/maps/Vpl1Z,
"Monday, 	7:00 PM",As Bill Sees It,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,H,http://goo.gl/maps/pxPLF,
"Tuesday, 	7:00 AM",Big Book Study,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"H,L",http://goo.gl/maps/pxPLF,
"Monday, 	12:00 PM",Brown Baggers,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"D,H,L",http://goo.gl/maps/pxPLF,
"Tuesday, 	12:00 PM",Brown Baggers,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,,http://goo.gl/maps/pxPLF,
"Friday, 	12:00 PM",Brown Baggers,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"D,H,L",http://goo.gl/maps/pxPLF,
"Sunday, 	9:30 AM",Colma Eye Opener,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"D,L",http://goo.gl/maps/pxPLF,
"Sunday, 	5:00 PM",COMMITTED ,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,L,http://goo.gl/maps/pxPLF,
"Saturday, 	6:00 PM",Committed Now,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,H,http://goo.gl/maps/pxPLF,
"Wednesday, 	8:00 PM",Daly City Wed Nite,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"D,H,L",http://goo.gl/maps/pxPLF,
"Wednesday, 	7:00 AM",Early Birds-Daily Reflection,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,H,http://goo.gl/maps/pxPLF,
"Thursday, 	6:30 PM",FLY BY NIGHT GROUP,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"H,L",http://goo.gl/maps/pxPLF,
"Monday, 	7:00 AM",Grapevine Meeting,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,D,http://goo.gl/maps/pxPLF,
"Tuesday, 	8:00 PM",Language of the Heart,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"D,H,SP,",http://goo.gl/maps/pxPLF,
"Thursday, 	7:00 AM",Living Sober,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"D,H",http://goo.gl/maps/pxPLF,
"Wednesday, 	6:00 PM",Men's no BS,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"H,M",http://goo.gl/maps/pxPLF,
"Monday, 	6:00 PM",Mustard Seed,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,H,http://goo.gl/maps/pxPLF,
"Monday, 	7:30 PM",Nada Podemos Solos,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,E,http://goo.gl/maps/pxPLF,
"Wednesday, 	7:30 PM",Nada Podemos Solos,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,E,http://goo.gl/maps/pxPLF,
"Saturday, 	7:30 PM",Nada Podemos Solos,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,E,http://goo.gl/maps/pxPLF,
"Saturday, 	10:00 AM",Sat Morning Step,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,L,http://goo.gl/maps/pxPLF,
"Saturday, 	8:30 AM",Smart Feet,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"D,L",http://goo.gl/maps/pxPLF,
"Friday, 	7:00 AM",Step Study,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,L,http://goo.gl/maps/pxPLF,
"Sunday, 	7:00 PM",Sun Nite Step,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,H,http://goo.gl/maps/pxPLF,
"Thursday, 	12:00 PM",Thu Nooner,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"D,H,L",http://goo.gl/maps/pxPLF,
"Wednesday, 	12:00 PM",Wed High Noon,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"D,H,L",http://goo.gl/maps/pxPLF,
"Friday, 	7:30 PM",West Bay All Groups,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,H,http://goo.gl/maps/pxPLF,
"Wednesday, 	6:00 PM",WOMEN'S HAPPY HOUR,WBAC - West Bay Fellowship - Phone: (650) 756-3322   7324 Mission Street,Daly City,"W,D,H,L",http://goo.gl/maps/pxPLF,
"Thursday, 	7:00 PM",SAN MATEO -AS BILL SEES IT,Western Hills Church   3399 CSM Drive (New Location!),San Mateo,"H,L",http://goo.gl/maps/2BWxY,
"Sunday, 	7:00 PM",Here and Now,Woodside Methodist Church  Woodside Road and Alameda,Redwood City,H,http://goo.gl/maps/KDxvT,
"Wednesday, 	7:30 PM",Wednesday Woodside Meeting,Woodside Methodist Church  Woodside Road and Alameda,Redwood City,,http://goo.gl/maps/KDxvT,
